node,lat,lon,description
WAREHOUSE,10.781703,106.66104399999999,WAREHOUSE
NMJ-8,10.764125,106.645981,NMJ-8
SGE-8,10.772974000000001,106.6550203,SGE-8
CBN-8,10.771752000000001,106.653501,CBN-8
ABC-8,10.762612400000002,106.67467520000001,ABC-8
IKL-8,10.776401,106.67796000000001,IKL-8
TCH-8,10.7686285,106.6668261,TCH-8
EFD-8,10.7672789,106.6596304,EFD-8
GHK-7,10.759484,106.66563400000001,GHK-7
BGJ-6,10.767239,106.646125,BGJ-6
AJH-6,10.7559516,106.6455229,AJH-6
LMF-6,10.7776858,106.6809014,LMF-6
